"created_at_utc","tariff_class","tariff_internal_name","status","taxi_status","vehicle_model","vehicle_color","vehicle_car_region","payment_cost","payment_currency_code","driver_call_model"
1622145491,"Эконом","econom","cancelled","waiting","Kia Rio","белый",34,52,"RUB","no_call"
1622145422,"Эконом","econom","cancelled","driving","LADA (ВАЗ) Granta","серый",34,0,"RUB","no_call"
1622145212,"Эконом","econom","finished","complete","Renault Logan","белый",34,104.7,"RUB","on_demand"
1622054615,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","белый",34,120,"RUB","on_demand"
1622045036,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","белый",34,115.5,"RUB","on_demand"
1622031263,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","белый",34,83.7,"RUB","on_demand"
1622026531,"Эконом","econom","finished","complete","Renault Logan","белый",34,461.9,"RUB","on_demand"
1622019033,"Комфорт","business","finished","complete","Kia Rio","белый",34,670,"RUB","on_demand"
1621968174,"Эконом","econom","finished","complete","Renault Logan","серый",64,580,"RUB","no_call"
1621968150,"Эконом","econom","cancelled","driving","LADA (ВАЗ) Granta","синий",34,0,"RUB","no_call"
1621966787,"Эконом","econom","cancelled","driving","Kia Rio","серый",77,0,"RUB","no_call"
1621966725,"Эконом","econom","finished","complete","Renault Logan","серый",34,157.05,"RUB","no_call"
1621953362,"Эконом","econom","finished","complete","Datsun on-DO","белый",34,570,"RUB","no_call"
1621884028,"Эконом","econom","cancelled","driving","LADA (ВАЗ) Vesta","белый",34,0,"RUB","no_call"
1621884004,"Комфорт","business","finished","complete","Kia Soul","белый",34,93.6,"RUB","no_call"
1621883842,"Эконом","econom","cancelled","driving","Datsun on-DO","белый",67,0,"RUB","no_call"
1621872858,"Эконом","econom","finished","complete","Renault Logan","бежевый",34,73.45,"RUB","no_call"
1621808494,"Эконом","econom","finished","complete","Volkswagen Polo","белый",34,680,"RUB","no_call"
1621808484,"Комфорт","business","cancelled","driving","Renault Duster","белый",34,0,"RUB","no_call"
1621779073,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","белый",34,430.45,"RUB","no_call"
1621620412,"Эконом","econom","finished","complete","Renault Logan","белый",34,136.35,"RUB","no_call"
1621532463,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","серый",34,94.45,"RUB","no_call"
1621531305,"Эконом","econom","cancelled","driving","LADA (ВАЗ) Granta","белый",34,0,"RUB","no_call"
1621531294,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","серый",34,168,"RUB","no_call"
1621498304,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","чёрный",34,280,"RUB","no_call"
1621451028,"Эконом","econom","finished","complete","LADA (ВАЗ) XRAY","белый",34,73.35,"RUB","no_call"
1621429984,"Эконом","econom","cancelled","driving","Hyundai Accent","синий",34,0,"RUB","no_call"
1621429974,"Эконом","econom","finished","complete","Hyundai Sonata","чёрный",5,530,"RUB","no_call"
1621429966,"Эконом","econom","cancelled","driving","Kia Cerato","чёрный",34,0,"RUB","no_call"
1621419690,"Эконом","econom","finished","complete","Hyundai Solaris","бежевый",34,52.5,"RUB","no_call"
1621410842,"Эконом","econom","finished","complete","Chevrolet Lacetti","бежевый",34,440.8,"RUB","no_call"
1621365089,"Эконом","econom","finished","complete","Skoda Rapid","белый",34,535.3,"RUB","no_call"
1621365081,"Эконом","econom","cancelled","driving","Datsun on-DO","белый",8,0,"RUB","no_call"
1621348847,"Эконом","econom","finished","complete","Renault Logan","белый",34,570,"RUB","no_call"
1621277241,"Эконом","econom","finished","complete","Hyundai Solaris","синий",34,130,"RUB","no_call"
1621193033,"Эконом","econom","finished","complete","Renault Logan","белый",34,566.7,"RUB","no_call"
1621193027,"Эконом","econom","cancelled","driving","LADA (ВАЗ) Vesta","синий",8,0,"RUB","no_call"
1621193016,"Эконом","econom","cancelled","driving","Datsun on-DO","серый",34,0,"RUB","no_call"
1621180295,"Эконом","econom","finished","complete","Kia Cerato","чёрный",34,94.3,"RUB","no_call"
1621148413,"Эконом","econom","finished","complete","Kia Rio","чёрный",34,590,"RUB","no_call"
1616801948,"Эконом","econom","finished","complete","Mazda 6","белый",34,600,"RUB","no_call"
1616775786,"Эконом","econom","finished","complete","Renault Logan","белый",30,251.75,"RUB","no_call"
1616683616,"Эконом","econom","finished","complete","Mazda 6","фиолетовый",34,240,"RUB","no_call"
1616670807,"Эконом","econom","finished","complete","Datsun on-DO","белый",34,240,"RUB","no_call"
1616616004,"Эконом","econom","cancelled","transporting","LADA (ВАЗ) Vesta","белый",34,49,"RUB","no_call"
1616592499,"Эконом","econom","finished","complete","Renault Logan","белый",34,500,"RUB","no_call"
1616506516,"Эконом","econom","finished","complete","Renault Logan","бежевый",34,100,"RUB","no_call"
1616499263,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","белый",34,130,"RUB","no_call"
1616356929,"Эконом","econom","finished","complete","Renault Logan","серый",50,560,"RUB","no_call"
1616356800,"Комфорт","business","cancelled","driving","Skoda Rapid","белый",34,0,"RUB","no_call"
1616352432,"Эконом","econom","finished","cancelled","LADA (ВАЗ) Granta","чёрный",34,77,"RUB","no_call"
1616351964,"Комфорт","business","cancelled","transporting","Kia Rio","белый",34,0,"RUB","no_call"
1616317395,"Эконом","econom","finished","complete","Renault Logan","белый",34,420,"RUB","no_call"
1616270702,"Эконом","econom","finished","complete","Kia Spectra","красный",34,530,"RUB","no_call"
1616252389,"Эконом","econom","finished","complete","Renault Logan","белый",34,400,"RUB","no_call"
1616246255,"Эконом","econom","finished","complete","Hyundai Accent","серый",34,100,"RUB","no_call"
1616235708,"Комфорт","business","finished","complete","Volkswagen Polo","белый",34,160,"RUB","no_call"
1616189259,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","голубой",77,500,"RUB","no_call"
1616176112,"Эконом","econom","finished","complete","Kia Rio","белый",34,80,"RUB","no_call"
1616168978,"Эконом","econom","finished","complete","LADA (ВАЗ) Vesta","серый",34,150,"RUB","no_call"
1616166708,"Эконом","econom","finished","complete","Renault Logan","бежевый",71,100,"RUB","no_call"
1616166479,"Эконом","econom","cancelled","driving","Skoda Octavia","серый",34,0,"RUB","no_call"
1616160862,"Комфорт","business","finished","complete","Toyota Camry","белый",34,120,"RUB","no_call"
1616158081,"Эконом","econom","finished","complete","Renault Logan","белый",34,260,"RUB","no_call"
1616156077,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","белый",34,70,"RUB","no_call"
1616151596,"Эконом","econom","finished","complete","LADA (ВАЗ) Vesta","серый",34,280,"RUB","no_call"
1616151180,"Эконом","econom","cancelled","driving","LADA (ВАЗ) Granta","белый",97,0,"RUB","no_call"
1616075473,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","серый",34,130,"RUB","no_call"
1616067625,"Эконом","econom","finished","complete","Datsun on-DO","белый",34,110,"RUB","no_call"
1615999516,"Эконом","econom","cancelled","transporting","Kia Rio","белый",34,61,"RUB","no_call"
1615999283,"Комфорт","business","finished","failed","Mitsubishi Outlander","белый",34,0,"RUB","no_call"
1615992759,"Эконом","econom","finished","complete","Hyundai Solaris","белый",99,170,"RUB","no_call"
1615985224,"Эконом","econom","finished","complete","Skoda Rapid","белый",34,150,"RUB","no_call"
1615980219,"Эконом","econom","finished","complete","Renault Logan","белый",34,300,"RUB","no_call"
1615926804,"Эконом","econom","finished","complete","Datsun on-DO","коричневый",23,500,"RUB","no_call"
1615915705,"Эконом","econom","finished","complete","Nissan Almera","белый",34,130,"RUB","no_call"
1615907217,"Эконом","econom","finished","complete","Fiat Albea","серый",34,590,"RUB","no_call"
1615904873,"Комфорт","business","finished","complete","Hyundai Elantra","белый",34,130,"RUB","no_call"
1615894442,"Эконом","econom","finished","complete","LADA (ВАЗ) Vesta","белый",34,110,"RUB","no_call"
1615839008,"Эконом","econom","finished","complete","Datsun on-DO","серый",34,520,"RUB","no_call"
1615838814,"Эконом","econom","cancelled","waiting","Daewoo Nexia","голубой",36,61,"RUB","no_call"
1615838043,"Эконом","econom","cancelled","waiting","Volkswagen Polo","чёрный",34,49,"RUB","no_call"
1615816974,"Эконом","econom","cancelled","driving","Nissan Almera","белый",34,0,"RUB","no_call"
1615816555,"Эконом","econom","finished","complete","Volkswagen Polo","белый",34,450,"RUB","no_call"
1615729625,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","белый",34,360,"RUB","no_call"
1615714887,"Комфорт","business","finished","complete","Kia Rio","белый",34,80,"RUB","no_call"
1615654264,"Эконом","econom","finished","complete","Renault Logan","белый",34,150,"RUB","no_call"
1615644732,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","белый",34,110,"RUB","no_call"
1615638421,"Эконом","econom","finished","complete","Volkswagen Polo","белый",34,350,"RUB","no_call"
1615633027,"Эконом","econom","finished","complete","LADA (ВАЗ) Largus","бежевый",34,310,"RUB","no_call"
1615466167,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","чёрный",34,100,"RUB","no_call"
1615458970,"Эконом","econom","finished","complete","Renault Logan","бежевый",34,110,"RUB","no_call"
1615394494,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","синий",34,460,"RUB","no_call"
1615361736,"Эконом","econom","finished","complete","Renault Logan","белый",34,500,"RUB","no_call"
1615317811,"Эконом","econom","finished","complete","Kia Rio","коричневый",34,610,"RUB","no_call"
1615301337,"Эконом","econom","finished","complete","LADA (ВАЗ) Granta","голубой",34,580,"RUB","no_call"
